event,date,start,end
元日,1-1,,
成人の日,1-2M,,
建国記念の日,2-11,,
天皇誕生日,2-23,2020,
昭和の日,4-29,,
憲法記念日,5-3,,
みどりの日,5-4,,
こどもの日,5-5,,
敬老の日,9-3M,,
文化の日,11-3,,
勤労感謝の日,11-23,,
天皇誕生日,12-23,,2018
,,,
海の日,7-3M,2000,2020
海の日,2021-07-22,,
海の日,7-3M,2022,
,,,
山の日,8-10,2016,2020
山の日,2021-08-08,,
山の日,8-11,2022,
,,,
体育の日,10-2M,2000,2019
スポーツの日,10-2M,2020,2020
スポーツの日,2021-07-23,,
スポーツの日,10-2M,2022,
,,,
春分の日,2015-3-21,,
春分の日,3-20,2016,2017
春分の日,2017-3-20,,
春分の日,3-21,2018,2019
春分の日,3-20,2020,2021
春分の日,3-21,2022,2023
春分の日,3-20,2024,2026
春分の日,2027-3-21,,
春分の日,3-20,2028,2030
,,,
秋分の日,2015-9-23,,
秋分の日,2016-9-22,,
秋分の日,9-23,2017,2019
秋分の日,2020-9-22,,
秋分の日,9-23,2021,2023
秋分の日,2024-9-22,,
秋分の日,9-23,2025,2027
秋分の日,2028-9-22,,
秋分の日,9-23,2029,2031
,,,
国民の休日,2019-04-30,,
天皇の即位の日,2019-05-01,,
国民の休日,2019-05-02,,
即位礼正殿の儀,2019-10-22,,
